,mean_0,std_0,median_0,mean_1,std_1,median_1,mean_diff,pct_diff,cohen_d,p_value
경기국면,0.5118790496760259,0.5003995486439586,1.0,0.8285714285714286,0.3796042398103419,1.0,0.3166923788954027,61.86859553948162,-0.6510921744319446,9.800575104785782e-09
귀리(-16~-20),0.0139963983650108,0.009417600332244693,0.01181239,0.021330976671428567,0.020282540156435436,0.015756700999999998,0.0073345783064177675,52.403326306810996,-0.6417499270542114,0.003934183720854984
귀리(-6~-10),0.01523537721814255,0.009198522675487967,0.013584939,0.02206260647142857,0.018315177936021488,0.018976028,0.006827229253286018,44.81168503761125,-0.630620151569043,0.0030693447155658946
미국_커피(-16~-20),0.013973146166306695,0.007810616872598637,0.01259558,0.018857015185714282,0.007538305675622278,0.017549408500000002,0.004883869019407587,34.95182088042571,-0.6280880798772781,2.406354904430724e-06
가솔린(-16~-20),0.015936623142548595,0.009949284955571836,0.013856222,0.0219772515,0.010301176415292546,0.020695501499999998,0.0060406283574514046,37.90406727585693,-0.6043220128052866,1.4217675736111595e-05
귀리(-1~-5),0.013587380492440604,0.008751029016047141,0.011999903,0.018916683228571426,0.009427416459923874,0.017673674,0.005329302736130822,39.22244423121736,-0.6027363929910492,2.518354024796629e-05
코스닥수익률표준편차(-1~-5),0.011544280406047517,0.006936435246986968,0.009969863,0.015686042999999997,0.008087059489682103,0.014253093,0.0041417625939524794,35.87718288428615,-0.5836341069703445,0.00010681583478956984
미국_커피(-1~-5),0.014102660136069114,0.007603468700498058,0.012515242,0.018638222142857142,0.009176668837700089,0.0176513925,0.004535562006788028,32.16103886094388,-0.5795657292041646,0.0001702793933532381
미국_옥수수(-16~-20),0.010034771369330453,0.005564023749474016,0.008726439,0.013887678214285715,0.01163786811812087,0.010746782,0.0038529068449552617,38.395561823471205,-0.5773477170529302,0.00806254472324232
오렌지주스(-11~-15),0.013749048222462205,0.0076803588594150365,0.012858264,0.01814142812857143,0.009734780970298148,0.017502873000000002,0.004392379906109224,31.94679249821286,-0.5506110470466244,0.0005258914583531376
은(-1~-5),0.011166099719222463,0.009506956032334426,0.008726403,0.01607109778571428,0.00886479219292555,0.014159494000000002,0.004904998066491818,43.92758608494113,-0.5203698470452053,4.5979195980938687e-05
은(-11~-15),0.01184622147948164,0.007877291332083003,0.010014007,0.0160800265,0.009733125381217267,0.014492974,0.00423380502051836,35.73970846190544,-0.5199707236072748,0.0008231095613258863
미국_옥수수(-6~-10),0.011707550876889851,0.0063054126043370585,0.010788722,0.0155853642,0.013483720727659793,0.011517823,0.003877813323110149,33.12232732436609,-0.5082318597828053,0.020545128320576894
미국_커피(-6~-10),0.015781867192224623,0.007931786233800225,0.014760889,0.019870167042857146,0.009590011952337359,0.018942576500000002,0.004088299850632523,25.90504533358852,-0.5006295030972886,0.0010488589199346959
납(-6~-10),0.011020503809935207,0.0051889493430459024,0.01011723,0.013789232314285714,0.007457677222638025,0.0122202175,0.0027687285043505074,25.12342949198423,-0.5000809612419265,0.003622834798100549
은(-6~-10),0.012031413198704103,0.008009211469663996,0.010155937,0.01583360105714286,0.007111343649423596,0.0151817265,0.003802187858438756,31.602171712033694,-0.48139250373449394,8.63737101636852e-05
원목(-16~-20),0.018095237237580993,0.0147914958644511,0.014433773,0.025380036214285716,0.019645607136728797,0.019930728,0.007284798976704723,40.25810151621184,-0.4697330187078895,0.003829550230401903
아연(-16~-20),0.010826038889848812,0.005885047560030053,0.009520568,0.013562244771428571,0.0063154050488678,0.013290568499999999,0.002736205881579759,25.27430308924348,-0.4604289752362019,0.000988278419275635
nasdaq(-20),0.014294964127429807,0.04434309902814573,0.017113317,-0.007425345385714283,0.07185829017940508,-0.016652491,-0.02172030951314409,-151.9437846749556,0.44505661135225316,0.016166845917343648
현미(-16~-20),0.00799423491576674,0.004980183340148137,0.006819763,0.010879384914285712,0.012792323445833703,0.0076236455,0.0028851499985189724,36.09038299373334,-0.440782806023982,0.06614226920702672
납(-16~-20),0.009914854686825054,0.005117918460570476,0.00918253,0.012417183971428571,0.008642013283572609,0.009820785,0.002502329284603517,25.238184155423216,-0.4389766348418705,0.020784043413044073
가솔린(-11~-15),0.016104918272138228,0.009013393276305494,0.013939895,0.020053141814285715,0.01138462914676691,0.0188878865,0.003948223542147487,24.515638486523578,-0.42201911010719584,0.006861160606137722
탄소배출권(-1~-5),0.018322470630669545,0.0110499851160554,0.015546982,0.023169429242857146,0.016592611313991635,0.017809813,0.004846958612187601,26.453630134761376,-0.40673176257709387,0.020448813576663675
은(-16~-20),0.010863958894168467,0.0078231195770811,0.008825111,0.014082488642857141,0.008736623248331476,0.011451850999999999,0.0032185297486886748,29.62575411083625,-0.4049605587837566,0.004582555594613736
탄소배출권(-16~-20),0.01779471369546436,0.011209965344648451,0.01497577,0.022542327814285716,0.016158286051506106,0.0175014075,0.004747614118821356,26.67991292285563,-0.39665339027518737,0.020042370315761643
