"날짜","종가","시가","고가","저가","거래량","변동 %"
"2017- 11- 17","334.18","336.05","338.04","334.18","92.93M","-0.05%"
"2017- 11- 20","332.92","334.43","335.18","332.26","76.77M","-0.38%"
"2017- 11- 21","333.51","333.78","334.92","332.70","123.28M","0.18%"
"2017- 11- 22","335.49","335.93","337.05","334.62","114.42M","0.59%"
"2017- 11- 23","334.51","335.66","335.89","333.99","71.02M","-0.29%"
"2017- 11- 24","335.44","334.77","335.44","333.86","73.26M","0.28%"
"2017- 11- 27","329.53","335.24","335.61","329.47","91.21M","-1.76%"
"2017- 11- 28","330.99","330.19","331.58","328.51","93.03M","0.44%"
"2017- 11- 29","330.68","331.41","332.22","330.04","67.85M","-0.09%"
"2017- 11- 30","325.25","328.45","329.55","324.82","121.25M","-1.64%"
"2017- 12- 01","324.78","326.85","326.85","324.50","82.20M","-0.14%"
"2017- 12- 04","328.77","326.31","328.77","324.88","91.08M","1.23%"
"2017- 12- 05","329.61","326.77","330.17","326.34","97.57M","0.26%"
"2017- 12- 06","324.52","329.48","329.51","324.52","129.65M","-1.54%"
"2017- 12- 07","323.59","325.31","325.53","322.39","128.72M","-0.29%"
"2017- 12- 08","324.68","324.84","325.38","323.42","125.46M","0.34%"
"2017- 12- 11","325.09","325.13","325.40","323.34","90.62M","0.13%"
"2017- 12- 12","324.07","325.15","325.26","323.27","91.13M","-0.31%"
"2017- 12- 13","326.18","324.14","326.58","323.13","90.54M","0.65%"
"2017- 12- 14","324.74","327.00","331.22","324.74","134.16M","-0.44%"
"2017- 12- 15","326.23","327.39","328.34","325.36","128.65M","0.46%"
"2017- 12- 18","326.60","327.09","327.16","325.64","103.11M","0.11%"
"2017- 12- 19","326.76","327.62","329.43","325.82","86.09M","0.05%"
"2017- 12- 20","325.79","326.20","327.51","325.55","66.25M","-0.30%"
"2017- 12- 21","319.72","325.82","325.88","319.72","86.54M","-1.86%"
"2017- 12- 22","321.21","320.86","321.89","319.55","81.17M","0.47%"
"2017- 12- 26","318.89","322.14","323.43","318.89","87.52M","-0.72%"
"2017- 12- 27","320.25","318.18","320.25","316.90","74.28M","0.43%"
