,회사명,1~5일 수익률 표준편차,6~10일 수익률 표준편차,11~15일 수익률 표준편차,16~20일 수익률 표준편차,stock_code
287,에이티젠,0.255413537,0.090133806,0.093398812,0.032928756,182400
288,에이프로,0.748665942,0.024842464,0.026957058,0.031732507,262260
289,에이프릴바이오,0.173755855,0.056094233,0.032528803,0.081489061,397030
290,에이플러스에셋,0.047739292,0.019428664,0.0587401309999999,0.00494803,244920
291,에이피티씨,0.047601523,0.018150675,0.019136797,0.01738485,89970
292,에치디프로,0.014109855,0.027916626,0.011825735,0.022024032,214870
293,에코마이스터,0.08453462,0.043040876,0.112991208,0.033609641,64510
294,에코마케팅,0.182481169,0.028019422,0.032397994,0.052788285,230360
295,에코캡,0.164323407,0.036040228,0.0528859809999999,0.033059144,128540
296,에코프로비엠,0.136482574,0.036751707,0.04897629,0.0561471549999999,247540
297,에프엔에스테크,0.142659777,0.032943968,0.023969877,0.015330916,83500
298,엔바이오니아,0.2449947309999999,0.045641954,0.029250846,0.024667144,317870
299,엔비티,0.4287737779999999,0.066892541,0.051507912,0.053072243,236810
300,엔시스,0.304366982,0.025134896,0.018682933,0.013209277,333620
301,엔에스쇼핑,0.070664538,0.027059508,0.033764005,0.02647089,138250
302,엔에프씨,0.135925502,0.027321109,0.026682728,0.044531899,265740
303,엔젠바이오,0.368721917,0.076634509,0.094608599,0.04646065,354200
304,엔젯,0.141890334,0.032775982,0.044305733,0.045151689,419080
305,엔지스테크널러지,0.636125675,0.062249763,0.044228871,0.043226323,208860
306,엔켐,0.395484466,0.080174135,0.05124659,0.062470217,348370
307,엔피디,0.164839795,0.087320318,0.0512029,0.048895777,198080
308,엘비루셈,0.04799925,0.01016184,0.00742415,0.021900982,376190
309,엘앤씨바이오,0.067897364,0.029151021,0.036146411,0.043341112,290650
310,엘에스전선 아시아,0.104501325,0.022519836,0.02397947,0.008531881,229640
311,엘이티,0.729677679,0.102594089,0.039640106,0.049860876,297890
312,엠아이텍,0.062641536,0.047385472,0.020089674,0.045403546,179290
313,엠코르셋,0.094005495,0.109618735,0.02392599,0.043072009,204020
314,엠투아이,0.030499295,0.033176151,0.026432556,0.053515185,347890
315,엠플러스,0.143550141,0.0503259579999999,0.02658067,0.034604812,259630
316,연우,0.2210495149999999,0.060808938,0.03352936,0.022768136,115960
317,영림원소프트랩,0.098869839,0.053021241,0.144984258,0.051165447,60850
318,영창케미칼,0.091417301,0.033444701,0.025071438,0.019854798,112290
319,영화테크,0.759683702,0.083879872,0.014030966,0.043150052,265560
320,오가닉티코스메틱,0.197885047,0.02773761,0.115198451,0.063984865,900300
321,오로스테크놀로지,0.740840961,0.063891212,0.026983754,0.070549614,322310
322,오브젠,0.691083174,0.104674844,0.045362947,0.092425024,417860
323,오비고,0.220863736,0.139095518,0.115478188,0.037947424,352910
324,오션브릿지,0.0435519,0.045647749,0.075497384,0.0523211529999999,241790
325,오에스피,0.116602071,0.011910709,0.027229818,0.030395312,368970
326,오토앤,0.471122705,0.081936396,0.064059215,0.126375089,353590
327,오픈엣지테크놀로지,0.166861305,0.163529829,0.046565169,0.072060995,394280
328,올리패스,0.141272404,0.048624757,0.150074425,0.0301283419999999,244460
329,올릭스,0.388231777,0.035604536,0.015743729,0.073619474,226950
330,옵티팜,0.091419489,0.050690038,0.043400864,0.048571463,153710
331,와이더플래닛,0.155411879,0.096191538,0.065313804,0.040784102,321820
332,와이엠텍,0.531253012,0.039030027,0.038029423,0.063474838,273640
333,와이엠티,0.209608571,0.0257310509999999,0.018778765,0.0573597159999999,251370
334,와이팜,0.344879801,0.1152237739999999,0.053570356,0.020821503,332570
335,용평리조트,0.322376524,0.035944582,0.034058773,0.040783489,70960
336,우리손에프앤지,0.156713631,0.030771692,0.017601619,0.023648573,73560
337,우양,0.069265417,0.034386233,0.032686572,0.02378283,103840
338,우진아이엔에스,0.174818314,0.047556409,0.1062691019999999,0.028190158,10400
339,원방테크,0.085088936,0.040772515,0.023243343,0.028637475,53080
340,원준,0.164560253,0.144119631,0.04615032,0.031332858,382840
341,원티드랩,0.750029254,0.163243692,0.07600077,0.027816308,376980
342,웹스,0.0547583599999999,0.022074012,0.052012162,0.039830805,196700
343,웹케시,0.076163233,0.023937899,0.028069254,0.043295981,53580
344,위니아에이드,0.155942768,0.039240311,0.045170488,0.027702022,377460
345,위더스제약,0.557018786,0.053622271,0.018923319,0.040159395,330350
346,위드텍,0.25697196,0.076718055,0.032118095,0.064905832,348350
347,위지윅스튜디오,0.068808379,0.114865312,0.046247843,0.054453531,299900
348,윌링스,0.670192328,0.075714378,0.045972959,0.036955419,313760
349,유니테크노,0.056397677,0.015945626,0.018856643,0.019150901,241690
350,유니트론텍,0.385382946,0.049108329,0.041300605,0.046974536,142210
351,유바이오로직스,0.133536014,0.044124517,0.023175202,0.028318669,206650
352,유앤아이,0.079735137,0.049200234,0.028949836,0.014392116,56090
353,유일로보틱스,0.718225318,0.060614709,0.016653318,0.023773872,388720
354,유일에너테크,0.547146068,0.048381474,0.017030326,0.038637844,340930
355,유지인트,0.297810297,0.026679262,0.037988709,0.059194451,195990
356,유테크,0.070156554,0.022191958,0.035538542,0.046536083,178780
357,유티아이,0.111987423,0.031565757,0.039985335,0.022135085,179900
358,유틸렉스,0.252735009,0.082369035,0.045529639,0.056934041,263050
359,육일씨엔에쓰,0.089890533,0.122753929,0.042418475,0.063307859,191410
360,윤성에프앤씨,0.11453255,0.0558692039999999,0.035454097,0.030973537,372170
361,이노뎁,0.022679991,0.020107884,0.011050882,0.020846391,303530
362,이노룰스,0.166143877,0.048376782,0.043830184,0.02780428,296640
363,이노메트리,0.092478684,0.116660567,0.0302568999999999,0.0500375159999999,302430
364,이노션,0.052687143,0.017095847,0.037755834,0.019163637,214320
365,이노테라피,0.0547742909999999,0.046789796,0.009871575,0.028074401,246960
366,이더블유케이,0.637401292,0.031797437,0.025007139,0.024167602,258610
367,이루다,0.447193791,0.070667355,0.027338855,0.031778719,164060
368,이삭엔지니어링,0.595328483,0.087055339,0.021863966,0.018462882,351330
369,이에스브이,0.184836084,0.073158233,0.069427574,0.085629714,223310
370,이오플로우,0.03604432,0.067129316,0.077338005,0.091518588,294090
371,이즈미디어,0.134418351,0.043611352,0.074566635,0.039874152,181340
