일자,거래량_PUT,거래량_CALL,P/C Ratio
2023/12/28,720040,1043285,0.69
2023/12/27,687751,837472,0.82
2023/12/26,401685,599129,0.67
2023/12/22,497251,784690,0.63
2023/12/21,624366,784417,0.8
2023/12/20,567924,861566,0.66
2023/12/19,333580,399307,0.84
2023/12/18,415564,481738,0.86
2023/12/15,582532,655140,0.89
2023/12/14,1766638,2274243,0.78
2023/12/13,1210867,1384694,0.87
2023/12/12,1137670,1288589,0.88
2023/12/11,837386,829097,1.01
2023/12/08,886760,951765,0.93
2023/12/07,911582,892162,1.02
2023/12/06,591620,746530,0.79
2023/12/05,646896,785307,0.82
2023/12/04,613413,765110,0.8
2023/12/01,653623,798877,0.82
2023/11/30,504292,749295,0.67
2023/11/29,623224,819466,0.76
2023/11/28,560618,585554,0.96
2023/11/27,472543,605616,0.78
2023/11/24,409411,538279,0.76
2023/11/23,467857,521732,0.9
2023/11/22,495403,683942,0.72
